"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"40","-198.48211669921875","-198.48211669921875","-198.48211669921875","-33.908203125","-33.908203125","-33.908203125","-108.26705932617188","-108.26705932617188","-108.26705932617188","-11.271964073181152","-11.271964073181152","-11.271964073181152","-115.3187255859375","-115.3187255859375","-115.3187255859375"
"41","-192.69085693359375","-192.69085693359375","-192.69085693359375","-18.113494873046875","-18.113494873046875","-18.113494873046875","-95.06382751464844","-95.06382751464844","-95.06382751464844","-0.7090599536895752","-0.7090599536895752","-0.7090599536895752","-50.90858459472656","-50.90858459472656","-50.90858459472656"
"42","-126.04608917236328","-126.04608917236328","-126.04608917236328","-26.264680862426758","-26.264680862426758","-26.264680862426758","-50.86613845825195","-50.86613845825195","-50.86613845825195","18.791379928588867","18.791379928588867","18.791379928588867","-12.533556938171387","-12.533556938171387","-12.533556938171387"
"43","-149.94818115234375","-149.94818115234375","-149.94818115234375","-32.99425506591797","-32.99425506591797","-32.99425506591797","-105.54774475097656","-105.54774475097656","-105.54774475097656","21.18785285949707","21.18785285949707","21.18785285949707","-38.030418395996094","-38.030418395996094","-38.030418395996094"
"44","-137.2275390625","-137.2275390625","-137.2275390625","-11.917530059814453","-11.917530059814453","-11.917530059814453","-64.72654724121094","-64.72654724121094","-64.72654724121094","-24.716045379638672","-24.716045379638672","-24.716045379638672","-11.683826446533203","-11.683826446533203","-11.683826446533203"
"45","-129.18263244628906","-129.18263244628906","-129.18263244628906","-15.610678672790527","-15.610678672790527","-15.610678672790527","-41.08591079711914","-41.08591079711914","-41.08591079711914","-10.204379081726074","-10.204379081726074","-10.204379081726074","-62.564231872558594","-62.564231872558594","-62.564231872558594"
"46","-115.2243881225586","-115.2243881225586","-115.2243881225586","-5.832461833953857","-5.832461833953857","-5.832461833953857","-38.98960876464844","-38.98960876464844","-38.98960876464844","-8.815933227539062","-8.815933227539062","-8.815933227539062","-1.4895998239517212","-1.4895998239517212","-1.4895998239517212"
"47","-104.23480987548828","-104.23480987548828","-104.23480987548828","-13.697659492492676","-13.697659492492676","-13.697659492492676","-70.76081848144531","-70.76081848144531","-70.76081848144531","8.596217155456543","8.596217155456543","8.596217155456543","38.27634048461914","38.27634048461914","38.27634048461914"
"48","-103.33052825927734","-103.33052825927734","-103.33052825927734","8.170421600341797","8.170421600341797","8.170421600341797","-27.391769409179688","-27.391769409179688","-27.391769409179688","-22.576887130737305","-22.576887130737305","-22.576887130737305","0.38600993156433105","0.38600993156433105","0.38600993156433105"
"49","-191.78114318847656","-191.78114318847656","-191.78114318847656","-29.07784652709961","-29.07784652709961","-29.07784652709961","-12.536953926086426","-12.536953926086426","-12.536953926086426","-57.430320739746094","-57.430320739746094","-57.430320739746094","10.132550239562988","10.132550239562988","10.132550239562988"
"50","-114.68061065673828","-114.68061065673828","-114.68061065673828","-77.29522705078125","-77.29522705078125","-77.29522705078125","-28.48918342590332","-28.48918342590332","-28.48918342590332","63.40814971923828","63.40814971923828","63.40814971923828","32.27437210083008","32.27437210083008","32.27437210083008"
"51","-165.7551727294922","-165.7551727294922","-165.7551727294922","-86.24613952636719","-86.24613952636719","-86.24613952636719","-17.489686965942383","-17.489686965942383","-17.489686965942383","-4.788430690765381","-4.788430690765381","-4.788430690765381","27.910715103149414","27.910715103149414","27.910715103149414"
"52","-176.20623779296875","-176.20623779296875","-176.20623779296875","-92.21066284179688","-92.21066284179688","-92.21066284179688","-2.580195903778076","-2.580195903778076","-2.580195903778076","4.423111915588379","4.423111915588379","4.423111915588379","3.947087049484253","3.947087049484253","3.947087049484253"
"53","-131.53610229492188","-131.53610229492188","-131.53610229492188","-31.163000106811523","-31.163000106811523","-31.163000106811523","-7.170664310455322","-7.170664310455322","-7.170664310455322","108.76085662841797","108.76085662841797","108.76085662841797","5.073838710784912","5.073838710784912","5.073838710784912"
"54","-147.26829528808594","-147.26829528808594","-147.26829528808594","-22.817968368530273","-22.817968368530273","-22.817968368530273","-40.34253692626953","-40.34253692626953","-40.34253692626953","21.60430908203125","21.60430908203125","21.60430908203125","-6.232393741607666","-6.232393741607666","-6.232393741607666"
"55","-176.6354217529297","-176.6354217529297","-176.6354217529297","-4.706511974334717","-4.706511974334717","-4.706511974334717","-11.754867553710938","-11.754867553710938","-11.754867553710938","11.605633735656738","11.605633735656738","11.605633735656738","9.342280387878418","9.342280387878418","9.342280387878418"
"56","-176.68605041503906","-176.68605041503906","-176.68605041503906","26.294937133789062","26.294937133789062","26.294937133789062","13.846152305603027","13.846152305603027","13.846152305603027","57.8393440246582","57.8393440246582","57.8393440246582","-21.00461196899414","-21.00461196899414","-21.00461196899414"
"57","-151.59230041503906","-151.59230041503906","-151.59230041503906","-1.584494948387146","-1.584494948387146","-1.584494948387146","-6.16525411605835","-6.16525411605835","-6.16525411605835","-10.312236785888672","-10.312236785888672","-10.312236785888672","-160.1450653076172","-160.1450653076172","-160.1450653076172"
