"Step","cartpole_lb_rtg_na - Train_AverageReturn","cartpole_lb_rtg_na - Train_AverageReturn__MIN","cartpole_lb_rtg_na - Train_AverageReturn__MAX","cartpole_lb_na - Train_AverageReturn","cartpole_lb_na - Train_AverageReturn__MIN","cartpole_lb_na - Train_AverageReturn__MAX","cartpole_lb_rtg - Train_AverageReturn","cartpole_lb_rtg - Train_AverageReturn__MIN","cartpole_lb_rtg - Train_AverageReturn__MAX","cartpole_lb - Train_AverageReturn","cartpole_lb - Train_AverageReturn__MIN","cartpole_lb - Train_AverageReturn__MAX","cartpole_rtg_na - Train_AverageReturn","cartpole_rtg_na - Train_AverageReturn__MIN","cartpole_rtg_na - Train_AverageReturn__MAX","cartpole_na - Train_AverageReturn","cartpole_na - Train_AverageReturn__MIN","cartpole_na - Train_AverageReturn__MAX","cartpole_rtg - Train_AverageReturn","cartpole_rtg - Train_AverageReturn__MIN","cartpole_rtg - Train_AverageReturn__MAX","cartpole - Train_AverageReturn","cartpole - Train_AverageReturn__MIN","cartpole - Train_AverageReturn__MAX"
"81","179","179","179","200","200","200","200","200","200","175.0869598388672","175.0869598388672","175.0869598388672","200","200","200","200","200","200","200","200","200","71.85713958740234","71.85713958740234","71.85713958740234"
"82","186.90908813476562","186.90908813476562","186.90908813476562","200","200","200","200","200","200","171.4583282470703","171.4583282470703","171.4583282470703","200","200","200","200","200","200","200","200","200","77.46154022216797","77.46154022216797","77.46154022216797"
"83","191.57142639160156","191.57142639160156","191.57142639160156","200","200","200","200","200","200","159.73077392578125","159.73077392578125","159.73077392578125","200","200","200","200","200","200","200","200","200","75.57142639160156","75.57142639160156","75.57142639160156"
"84","193.2857208251953","193.2857208251953","193.2857208251953","200","200","200","200","200","200","155.84616088867188","155.84616088867188","155.84616088867188","187.5","187.5","187.5","200","200","200","200","200","200","77.23076629638672","77.23076629638672","77.23076629638672"
"85","192.8095245361328","192.8095245361328","192.8095245361328","200","200","200","200","200","200","167.375","167.375","167.375","187.5","187.5","187.5","200","200","200","200","200","200","74.85713958740234","74.85713958740234","74.85713958740234"
"86","197.61904907226562","197.61904907226562","197.61904907226562","200","200","200","200","200","200","171.6666717529297","171.6666717529297","171.6666717529297","200","200","200","200","200","200","200","200","200","80.53845977783203","80.53845977783203","80.53845977783203"
"87","200","200","200","200","200","200","200","200","200","187.5","187.5","187.5","198.8333282470703","198.8333282470703","198.8333282470703","200","200","200","200","200","200","81.07691955566406","81.07691955566406","81.07691955566406"
"88","196","196","196","200","200","200","200","200","200","182.09091186523438","182.09091186523438","182.09091186523438","200","200","200","200","200","200","200","200","200","76.78571319580078","76.78571319580078","76.78571319580078"
"89","200","200","200","199.85714721679688","199.85714721679688","199.85714721679688","200","200","200","197.7142791748047","197.7142791748047","197.7142791748047","198.1666717529297","198.1666717529297","198.1666717529297","200","200","200","200","200","200","77","77","77"
"90","200","200","200","200","200","200","200","200","200","199.42857360839844","199.42857360839844","199.42857360839844","190.6666717529297","190.6666717529297","190.6666717529297","200","200","200","200","200","200","74.21428680419922","74.21428680419922","74.21428680419922"
"91","200","200","200","200","200","200","200","200","200","191","191","191","200","200","200","200","200","200","200","200","200","71.5","71.5","71.5"
"92","200","200","200","200","200","200","200","200","200","185.22727966308594","185.22727966308594","185.22727966308594","198.3333282470703","198.3333282470703","198.3333282470703","200","200","200","200","200","200","67.33333587646484","67.33333587646484","67.33333587646484"
"93","200","200","200","200","200","200","200","200","200","175.6521759033203","175.6521759033203","175.6521759033203","200","200","200","200","200","200","200","200","200","72.21428680419922","72.21428680419922","72.21428680419922"
"94","200","200","200","200","200","200","200","200","200","173","173","173","200","200","200","200","200","200","200","200","200","72.85713958740234","72.85713958740234","72.85713958740234"
"95","200","200","200","200","200","200","200","200","200","169.2083282470703","169.2083282470703","169.2083282470703","200","200","200","200","200","200","200","200","200","69.4000015258789","69.4000015258789","69.4000015258789"
"96","186.0454559326172","186.0454559326172","186.0454559326172","200","200","200","200","200","200","169.7083282470703","169.7083282470703","169.7083282470703","200","200","200","200","200","200","200","200","200","72.21428680419922","72.21428680419922","72.21428680419922"
"97","200","200","200","200","200","200","200","200","200","163.16000366210938","163.16000366210938","163.16000366210938","200","200","200","200","200","200","200","200","200","66","66","66"
"98","200","200","200","200","200","200","200","200","200","162.44000244140625","162.44000244140625","162.44000244140625","199.1666717529297","199.1666717529297","199.1666717529297","200","200","200","200","200","200","77.42857360839844","77.42857360839844","77.42857360839844"
"99","200","200","200","200","200","200","200","200","200","148.8518524169922","148.8518524169922","148.8518524169922","200","200","200","200","200","200","200","200","200","69.86666870117188","69.86666870117188","69.86666870117188"
